title,video_url,views,video_age,Clean_Views
Reacting with an AWFUL react channel (feat. AzzyLand),https://youtube.com/watch?v=0vL5niWSIlk,363K views,6 days ago,363000
$200 if your video makes me laugh.,https://youtube.com/watch?v=EaK_B9_uMOU,251K views,1 month ago,251000
$100 if you make me laugh.,https://youtube.com/watch?v=5TkHGcTfu0Y,440K views,1 month ago,440000
Reading my favorite tweets from YouTube,https://youtube.com/watch?v=vVzA70bWh3g,235K views,2 months ago,235000
The ACTUALLY GOOD YOUTUBERS Iceberg,https://youtube.com/watch?v=-dcuAAMUicw,704K views,2 months ago,704000
"I hate jumpscares, so I made an app.",https://youtube.com/watch?v=NQf8psQT9MQ,353K views,3 months ago,353000
Sssniperwolf came to our home last night. It's time for YouTube to step in.,https://youtube.com/watch?v=aeMHMnOWkw4,4.9M views,4 months ago,4900000
The WAR on stolen content!,https://youtube.com/watch?v=eI0VD3Hut0Y,1.5M views,4 months ago,1500000
The Final YIAY on Jacksfilms. (YIAY #624),https://youtube.com/watch?v=nhd5r-FtY6s,1M views,5 months ago,1000000
Sssniperwolf is getting worse. Here's proof.,https://youtube.com/watch?v=DB7LvVllAQI,2.2M views,6 months ago,2200000
Let's tttalk about Sssniperwolf.,https://youtube.com/watch?v=oMjWaPsGY80,2.2M views,7 months ago,2200000
just say you're sorry.,https://youtube.com/watch?v=vVoUJfTUxPI,1.3M views,7 months ago,1300000
YIAY but I can't edit. (YIAY #623),https://youtube.com/watch?v=eAan3Zd9GI4,676K views,7 months ago,676000
Sssniperwolf but every 10 seconds I read a tweet she sent me tonight,https://youtube.com/watch?v=9BU-42iV2jM,2.6M views,7 months ago,2600000
This is my new favorite thing.,https://youtube.com/watch?v=eBgxcJ35ImQ,292K views,8 months ago,292000
How cringe can we make AI?,https://youtube.com/watch?v=X6BrhsLdBT8,490K views,8 months ago,490000
"Apple's new $3,500 toy",https://youtube.com/watch?v=rF8mmGF9yKc,370K views,8 months ago,370000
Grading your terrifying Shrek creations,https://youtube.com/watch?v=1TOSbGbvYpk,222K views,8 months ago,222000
Zelda: Tears of the Kingdom review (for gamers only),https://youtube.com/watch?v=aB4Yagmpxfo,237K views,9 months ago,237000
Why you should care about Google's foldy phone,https://youtube.com/watch?v=P18F7LZptcw,152K views,9 months ago,152000
Twitter is a broken mess.,https://youtube.com/watch?v=NuNEI2I8DcI,381K views,9 months ago,381000
Fixing the Worst Tinder Profiles,https://youtube.com/watch?v=w_YN2Q86B78,182K views,10 months ago,182000
The Mario movie is actually great.,https://youtube.com/watch?v=XTy2wKynf8Q,527K views,10 months ago,527000
Shrek 5 is actually happening.,https://youtube.com/watch?v=wg_-b9iEjGE,319K views,10 months ago,319000
TRUMP DONE? FROGGY FRESH DRAMA! E3 OVER! (I will reply to every comment),https://youtube.com/watch?v=fTG_Dv_Hcow,129K views,10 months ago,129000
An update video but each update adds a new distraction,https://youtube.com/watch?v=bwPMliTEdBk,259K views,11 months ago,259000
My Audition for Shrek 5,https://youtube.com/watch?v=sXsSFOCqMEQ,197K views,11 months ago,197000
I reacted so hard YouTube gave me this,https://youtube.com/watch?v=X2_WZXgQ2NM,204K views,11 months ago,204000
"$1,000,000 DOG VS. $10,000 DOG VS. $1 DOG",https://youtube.com/watch?v=fBw5gbDugiY,277K views,1 year ago,277000
I hosted a game show from a hotel room,https://youtube.com/watch?v=myEuL_orqe4,77K views,1 year ago,77000
